,4,10
99,convolution,mb1_ic672oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
100,reorder,1x704x14x14
101,reorder,128x704x1x1
102,convolution,mb1_ic704oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
103,reorder,1x736x14x14
104,reorder,128x736x1x1
105,convolution,mb1_ic736oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
106,reorder,1x768x14x14
107,reorder,128x768x1x1
108,convolution,mb1_ic768oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
109,reorder,1x800x14x14
110,reorder,128x800x1x1
111,convolution,mb1_ic800oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
112,reorder,1x832x14x14
113,reorder,128x832x1x1
114,convolution,mb1_ic832oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
115,reorder,1x864x14x14
116,reorder,128x864x1x1
117,convolution,mb1_ic864oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
118,reorder,1x896x14x14
119,reorder,128x896x1x1
120,convolution,mb1_ic896oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
121,reorder,1x928x14x14
122,reorder,128x928x1x1
123,convolution,mb1_ic928oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
124,reorder,1x960x14x14
125,reorder,128x960x1x1
126,convolution,mb1_ic960oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
127,reorder,1x992x14x14
128,reorder,128x992x1x1
129,convolution,mb1_ic992oc128_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
130,reorder,1x1024x14x14
131,reorder,512x1024x1x1
132,convolution,mb1_ic1024oc512_ih14oh14kh1sh1dh0ph0_iw14ow14kw1sw1dw0pw0
133,reorder,1x512x7x7
134,convolution,mb1_ic512oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
135,reorder,1x128x7x7
136,reorder,1x544x7x7
137,convolution,mb1_ic544oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
138,reorder,1x576x7x7
139,convolution,mb1_ic576oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
140,reorder,1x608x7x7
141,convolution,mb1_ic608oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
142,reorder,1x640x7x7
143,convolution,mb1_ic640oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
144,reorder,1x672x7x7
145,convolution,mb1_ic672oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
146,reorder,1x704x7x7
147,convolution,mb1_ic704oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
148,reorder,1x736x7x7
149,convolution,mb1_ic736oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
150,reorder,1x768x7x7
151,convolution,mb1_ic768oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
152,reorder,1x800x7x7
153,convolution,mb1_ic800oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
154,reorder,1x832x7x7
155,convolution,mb1_ic832oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
156,reorder,1x864x7x7
157,convolution,mb1_ic864oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
158,reorder,1x896x7x7
159,convolution,mb1_ic896oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
160,reorder,1x928x7x7
161,convolution,mb1_ic928oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
162,reorder,1x960x7x7
163,convolution,mb1_ic960oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
164,reorder,1x992x7x7
165,convolution,mb1_ic992oc128_ih7oh7kh1sh1dh0ph0_iw7ow7kw1sw1dw0pw0
166,reorder,64x64x3x3
167,convolution,mb1_ic64oc64_ih56oh56kh3sh1dh0ph1_iw56ow56kw3sw1dw0pw1
168,reorder,128x64x3x3
169,convolution,mb1_ic64oc128_ih56oh28kh3sh2dh0ph1_iw56ow28kw3sw2dw0pw1
170,reorder,128x128x3x3
171,convolution,mb1_ic128oc128_ih28oh28kh3sh1dh0ph1_iw28ow28kw3sw1dw0pw1
172,convolution,mb1_ic64oc128_ih56oh28kh1sh2dh0ph0_iw56ow28kw1sw2dw0pw0
173,reorder,256x128x3x3
174,convolution,mb1_ic128oc256_ih28oh14kh3sh2dh0ph1_iw28ow14kw3sw2dw0pw1
175,reorder,256x256x3x3
176,convolution,mb1_ic256oc256_ih14oh14kh3sh1dh0ph1_iw14ow14kw3sw1dw0pw1
177,reorder,256x128x1x1
178,convolution,mb1_ic128oc256_ih28oh14kh1sh2dh0ph0_iw28ow14kw1sw2dw0pw0
179,reorder,512x256x3x3
180,convolution,mb1_ic256oc512_ih14oh7kh3sh2dh0ph1_iw14ow7kw3sw2dw0pw1
181,reorder,512x512x3x3
182,convolution,mb1_ic512oc512_ih7oh7kh3sh1dh0ph1_iw7ow7kw3sw1dw0pw1
183,reorder,512x256x1x1
184,convolution,mb1_ic256oc512_ih14oh7kh1sh2dh0ph0_iw14ow7kw1sw2dw0pw0
185,reorder,32x3x3x3
186,convolution,mb1_ic3oc32_ih224oh111kh3sh2dh0ph0_iw224ow111kw3sw2dw0pw0
187,reorder,1x32x111x111
188,reorder,32x32x3x3
189,convolution,mb1_ic32oc32_ih111oh109kh3sh1dh0ph0_iw111ow109kw3sw1dw0pw0
190,reorder,1x32x109x109
191,reorder,64x32x3x3
192,convolution,mb1_ic32oc64_ih109oh109kh3sh1dh0ph1_iw109ow109kw3sw1dw0pw1
193,reorder,1x64x109x109
194,reorder,1x64x54x54
195,reorder,80x64x1x1
196,convolution,mb1_ic64oc80_ih54oh54kh1sh1dh0ph0_iw54ow54kw1sw1dw0pw0
197,reorder,1x80x54x54
198,reorder,192x80x3x3
199,convolution,mb1_ic80oc192_ih54oh52kh3sh1dh0ph0_iw54ow52kw3sw1dw0pw0
200,reorder,1x192x52x52
201,reorder,1x192x25x25
202,reorder,64x192x1x1
203,convolution,mb1_ic192oc64_ih25oh25kh1sh1dh0ph0_iw25ow25kw1sw1dw0pw0
204,reorder,1x64x25x25
205,reorder,48x192x1x1
206,convolution,mb1_ic192oc48_ih25oh25kh1sh1dh0ph0_iw25ow25kw1sw1dw0pw0
207,reorder,1x48x25x25
208,reorder,64x48x5x5
209,convolution,mb1_ic48oc64_ih25oh25kh5sh1dh0ph2_iw25ow25kw5sw1dw0pw2
210,reorder,96x64x3x3
211,convolution,mb1_ic64oc96_ih25oh25kh3sh1dh0ph1_iw25ow25kw3sw1dw0pw1
212,reorder,1x96x25x25
213,reorder,96x96x3x3
214,convolution,mb1_ic96oc96_ih25oh25kh3sh1dh0ph1_iw25ow25kw3sw1dw0pw1
215,reorder,32x192x1x1
216,convolution,mb1_ic192oc32_ih25oh25kh1sh1dh0ph0_iw25ow25kw1sw1dw0pw0
217,reorder,1x32x25x25
218,reorder,1x256x25x25
219,reorder,64x256x1x1
